DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;UNCLASSIFIED
2015-08-10;0;0;0;0;0;1;
2015-08-11;1;0;0;0;0;2;
2015-10-01;0;0;0;0;1;0;
2015-10-04;1;0;0;0;0;0;
2015-10-08;1;0;0;0;0;0;
2015-10-11;0;0;0;0;0;1;
2015-10-13;1;1;0;0;0;0;
2015-10-14;1;0;0;0;0;0;
2015-10-17;1;0;0;0;0;0;
2015-10-18;1;0;0;0;0;1;
2015-10-19;0;0;0;0;0;4;
2015-10-20;2;0;0;0;0;0;
2015-10-22;2;0;0;0;0;0;
2015-10-23;1;0;0;1;0;1;
2015-10-25;1;1;0;0;0;0;
2015-10-26;5;0;1;2;0;2;
2015-10-27;0;0;0;0;0;1;
2015-10-28;0;0;0;1;0;0;
2015-10-29;1;0;0;0;0;1;
2015-11-08;1;0;0;0;0;0;
2015-11-12;0;0;0;0;0;1;
2015-11-13;0;0;0;0;0;1;
2015-11-15;0;0;1;0;0;0;
2015-11-18;4;5;0;0;0;0;
2015-11-19;0;1;0;0;0;0;
2015-11-21;0;0;0;1;0;0;
2015-11-25;1;0;0;0;0;0;
2015-11-26;0;0;0;1;0;0;
2015-11-30;2;0;0;0;0;4;
2015-12-01;4;0;0;0;0;1;
2015-12-02;2;1;0;0;0;0;
2015-12-08;2;0;0;0;0;0;
2015-12-09;0;0;0;0;0;1;
2015-12-10;1;0;0;0;0;0;
2015-12-12;5;0;0;0;0;0;
2015-12-13;0;0;0;1;0;0;
2015-12-14;5;1;0;0;0;0;
2015-12-16;1;0;0;0;0;1;
2015-12-17;4;0;0;2;0;0;
2015-12-18;2;0;0;0;0;2;
2015-12-19;2;0;0;1;1;2;
2015-12-20;2;0;0;0;0;0;
2015-12-21;8;1;0;1;1;1;
2015-12-22;6;1;0;3;0;5;
2015-12-23;2;0;0;1;0;0;
2015-12-24;0;0;0;0;0;1;
2015-12-26;0;1;0;0;0;0;
2015-12-29;5;1;0;1;0;5;
2015-12-30;5;1;0;3;0;4;
2015-12-31;0;0;0;0;0;2;
2016-01-01;1;0;0;0;0;0;
2016-01-02;1;1;0;0;0;0;
2016-01-04;1;0;0;1;0;1;
2016-01-06;0;0;1;0;0;1;
2016-01-07;1;0;0;0;0;0;
2016-01-08;19;2;2;5;0;12;
2016-01-09;27;1;1;3;0;8;
2016-01-10;22;1;3;3;0;11;
2016-01-11;28;0;3;2;0;7;
2016-01-12;19;3;3;5;0;10;
2016-01-13;15;4;1;1;0;19;
2016-01-14;24;3;1;3;1;8;
2016-01-15;18;3;1;7;1;10;
2016-01-16;23;3;1;2;2;9;
2016-01-17;17;4;1;8;0;10;
2016-01-18;20;1;5;4;1;9;
2016-01-19;10;2;3;0;0;5;
2016-01-20;15;2;4;5;2;12;